Mn,N11/1,1;PCA,N11/4,2;PCASD,N11/2,3;KodZboziKodPodskladu,C55,4;Cislo,C50,5$
0.0;7099.1700;8590.00;0.01;0;
0.0;7429.7521;8990.00;AP0014/BLK.01;AP0014/BLK;
0.0;7429.7521;8990.00;AP0015/WHT.01;AP0015/WHT;
0.0;9082.6446;10990.00;AP0020/WHT.01;AP0020/WHT;
0.0;7429.7500;8990.00;AP0029/BLK.01;AP0029/BLK;
0.0;8256.1983;9990.00;AP0033.01;AP0033;
0.0;7099.1736;8590.00;AP0034.01;AP0034;
0.0;4123.9700;4990.00;APA10/DGRY.01;APA10/DGRY;
0.0;4123.9700;4990.00;APA10/LGRY.01;APA10/LGRY;
4.0;4950.4132;5990.00;APA10MkII/DGRY.01;APA10MkII/DGRY;
3.0;4950.4132;5990.00;APA10MkII/LGRY.01;APA10MkII/LGRY;
2.0;7925.6198;9590.00;APA15/DGRY.01;APA15/DGRY;
3.0;7925.6198;9590.00;APA15/LGRY.01;APA15/LGRY;
2.0;10735.5400;12990.00;APA26/BLK.01;APA26/BLK;
0.0;10735.5400;12990.00;APA26/WHT.01;APA26/WHT;
7.0;12388.4298;14990.00;APA28/BLK.01;APA28/BLK;
6.0;12388.4298;14990.00;APA28/WHT.01;APA28/WHT;
0.0;16520.6600;19990.00;APA36/BLK.01;APA36/BLK;
0.0;16520.6600;19990.00;APA36/WHT.01;APA36/WHT;
1.0;15694.2149;18990.00;APA38/BLK.01;APA38/BLK;
2.0;15694.2149;18990.00;APA38/WHT.01;APA38/WHT;
0.0;21975.2066;26590.00;APA48/BLK.01;APA48/BLK;
3.0;21975.2066;26590.00;APA48/WHT.01;APA48/WHT;
0.0;6438.0200;7790.00;APAOS/BLK.01;APAOS/BLK;
0.0;6438.0200;7790.00;APAOS/WHT.01;APAOS/WHT;
0.0;7099.1736;8590.00;APAOT10BLK.01;APAOT10BLK;
0.0;9082.6446;10990.00;APAOT10WHT.01;APAOT10WHT;
0.0;9082.6446;10990.00;APAOT14/BLK.01;APAOT14/BLK;
0.0;9082.6446;10990.00;APAOT14/WHT.01;APAOT14/WHT;
0.0;14867.7686;17990.00;APAOT20/BLK.01;APAOT20/BLK;
0.0;14867.7686;17990.00;APAOT20/WHT.01;APAOT20/WHT;
0.0;8256.1983;9990.00;APAOT8/BLK.01;APAOT8/BLK;
0.0;8256.1983;9990.00;APAOT8L/WHT.01;APAOT8L/WHT;
0.0;5776.8595;6990.00;APAOT9BLK.01;APAOT9BLK;
0.0;5776.8595;6990.00;APAOT9BLU.01;APAOT9BLU;
0.0;5776.8595;6990.00;APAOT9ORG.01;APAOT9ORG;
0.0;5776.8595;6990.00;APAOT9WHT.01;APAOT9WHT;
11.0;3297.5200;3990.00;APBT5/BLK.01;APBT5/BLK;
10.0;3297.5200;3990.00;APBT5/DRI.01;APBT5/DRI;
7.0;3297.5200;3990.00;APBT5/WAL.01;APBT5/WAL;
0.0;4619.8347;5590.00;APC10/BLK.01;APC10/BLK;
0.0;7429.7500;8990.00;APC10/GRE.01;APC10/GRE;
3.0;7429.7500;8990.00;APC10/WHT.01;APC10/WHT;
7.0;8256.1983;9990.00;APC10mkII/BLK.01;APC10mkII/BLK;
5.0;8256.1983;9990.00;APC10mkII/GRE.01;APC10mkII/GRE;
2.0;8256.1983;9990.00;APC10mkII/SAGEGREEN.01;APC10mkII/SAGEGREEN;
0.0;9082.6446;10990.00;APC10mkII/SAND.01;APC10mkII/SAND;
4.0;8256.1983;9990.00;APC10mkII/WHT.01;APC10mkII/WHT;
15.0;4950.4132;5990.00;APC3/BLK.01;APC3/BLK;
15.0;4950.4132;5990.00;APC3/GRY.01;APC3/GRY;
13.0;4950.4132;5990.00;APC3/WHT.01;APC3/WHT;
0.0;6438.0200;7790.00;APC3/YLW.01;APC3/YLW;
0.0;5776.8595;6990.00;APC5/BLK.01;APC5/BLK;
0.0;4619.8347;5590.00;APC5/GRE.01;APC5/GRE;
0.0;5363.6400;6490.00;APC5/PNK.01;APC5/PNK;
0.0;4619.8347;5590.00;APC5/WHT.01;APC5/WHT;
0.0;5776.8595;6990.00;APC5A/BLK.01;APC5A/BLK;
0.0;5776.8595;6990.00;APC5A/GRY.01;APC5A/GRY;
0.0;5776.8595;6990.00;APC5A/WHT.01;APC5A/WHT;
4.0;5776.8595;6990.00;APC5mkII/BLK.01;APC5mkII/BLK;
9.0;5776.8595;6990.00;APC5mkII/GRY.01;APC5mkII/GRY;
3.0;5776.8595;6990.00;APC5mkII/LGRN.01;APC5mkII/LGRN;
2.0;5776.8595;6990.00;APC5mkII/SAND.01;APC5mkII/SAND;
6.0;5776.8595;6990.00;APC5mkII/WHT.01;APC5mkII/WHT;
0.0;8256.2000;9990.00;APCSUB/BLK.01;APCSUB/BLK;
0.0;8256.2000;9990.00;APCSUB/GRE.01;APCSUB/GRE;
0.0;8256.2000;9990.00;APCSUB/WHT.01;APCSUB/WHT;
0.0;14867.7700;17990.00;APDF/BLK.01;APDF/BLK;
0.0;14867.7700;17990.00;APDF/GRY.01;APDF/GRY;
0.0;14867.7700;17990.00;APDF/WHT.01;APDF/WHT;
0.0;14867.7700;17990.00;APDFBS/BLK.01;APDFBS/BLK;
0.0;7429.7500;8990.00;APDFD1/BLK.01;APDFD1/BLK;
0.0;7429.7500;8990.00;APDFD1/GRY.01;APDFD1/GRY;
0.0;7429.7500;8990.00;APDFD1/WHT.01;APDFD1/WHT;
2.0;8256.1983;9990.00;APDFD2/BLK.01;APDFD2/BLK;
2.0;8256.1983;9990.00;APDFD2/GRY.01;APDFD2/GRY;
3.0;8256.1983;9990.00;APDFD2/WHT.01;APDFD2/WHT;
0.0;14041.3223;16990.00;APDFII/BLK.01;APDFII/BLK;
1.0;14041.3223;16990.00;APDFII/GRY.01;APDFII/GRY;
3.0;14041.3223;16990.00;APDFII/WHT.01;APDFII/WHT;
1.0;4950.4132;5990.00;APG10DG.01;APG10DG;
0.0;4950.4132;5990.00;APG10LG.01;APG10LG;
3.0;2471.0744;2990.00;APL1.01;APL1;
4.0;4950.4132;5990.00;APL2.01;APL2;
2.0;3297.5207;3990.00;APP5.01;APP5;
0.0;2475.2066;2995.00;APRX100.01;APRX100;
3.0;9082.6446;10990.00;APSW10/BLK.01;APSW10/BLK;
0.0;9082.6446;10990.00;APSW10/WHT.01;APSW10/WHT;
1.0;7264.4628;8790.00;APSW5/BLK.01;APSW5/BLK;
2.0;7264.4628;8790.00;APSW5/WHT.01;APSW5/WHT;
0.0;7099.1700;8590.00;APT102/BLK.01;APT102/BLK;
0.0;7099.1700;8590.00;APT102/WHT.01;APT102/WHT;
0.0;3297.5207;3990.00;APT3/BLK.01;APT3/BLK;
0.0;3297.5207;3990.00;APT3/GRE.01;APT3/GRE;
0.0;3462.8099;4190.00;APT3/GRN.01;APT3/GRN;
0.0;3297.5207;3990.00;APT3/ORG.01;APT3/ORG;
0.0;3297.5207;3990.00;APT3/PNK.01;APT3/PNK;
0.0;3297.5207;3990.00;APT3/WHT.01;APT3/WHT;
6.0;4123.9669;4990.00;APT3+/BLK.01;APT3+/BLK;
2.0;4123.9669;4990.00;APT3+/CRL.01;APT3+/CRL;
2.0;4123.9669;4990.00;APT3+/GRN.01;APT3+/GRN;
7.0;4123.9669;4990.00;APT3+/GRY.01;APT3+/GRY;
2.0;4123.9669;4990.00;APT3+/LMN.01;APT3+/LMN;
5.0;4123.9669;4990.00;APT3+/PETER.01;APT3+/PETER;
7.0;4123.9669;4990.00;APT3+/WHT.01;APT3+/WHT;
0.0;4619.8347;5590.00;APT5/BLK.01;APT5/BLK;
0.0;4619.8347;5590.00;APT5/GRE.01;APT5/GRE;
0.0;4619.8347;5590.00;APT5/ORG.01;APT5/ORG;
0.0;4619.8347;5590.00;APT5/PNK.01;APT5/PNK;
0.0;4619.8347;5590.00;APT5/WHT.01;APT5/WHT;
0.0;8256.1983;9990.00;APT8L/BLK.01;APT8L/BLK;
0.0;818.1818;990.00;APTM10/BLK.01;APTM10/BLK;
0.0;818.1818;990.00;APTM10/WHT.01;APTM10/WHT;
1.0;404.9587;490.00;APWB201/BLK.01;APWB201/BLK;
0.0;404.9587;490.00;APWB201/GRE.01;APWB201/GRE;
1.0;404.9587;490.00;APWB201/WHT.01;APWB201/WHT;
0.0;4950.4132;5990.00;APWF100.01;APWF100;
0.0;4619.8347;5590.00;APWFDRXD200.01;APWFDRXD200;
